MON,DAY,HR,HR OF YR,DRY BULB,WET BULB,
1,1,0,1,53.20,51.20,
1,1,1,2,37.90,37.00,
1,1,2,3,39.00,37.60,
1,1,3,4,39.00,38.10,
1,1,4,5,39.00,38.10,
1,1,5,6,39.00,38.50,
1,1,6,7,39.00,38.40,
1,1,7,8,39.00,38.40,
1,1,8,9,39.00,38.40,
1,1,9,10,39.00,38.40,
1,1,10,11,39.00,38.40,
1,1,11,12,39.90,39.40,
1,1,12,13,41.00,40.00,
1,1,13,14,41.00,40.00,
1,1,14,15,41.00,40.00,
1,1,15,16,42.10,40.50,
1,1,16,17,42.10,40.50,
1,1,17,18,41.00,39.50,
1,1,18,19,41.00,39.50,
1,1,19,20,41.00,39.50,
1,1,20,21,39.90,38.90,
1,1,21,22,37.90,37.40,
1,1,22,23,37.00,36.40,
1,1,23,24,33.10,33.00,
1,2,0,25,30.90,30.80,
1,2,1,26,30.00,29.90,
1,2,2,27,28.90,28.80,
1,2,3,28,28.90,28.80,
1,2,4,29,28.90,28.80,
1,2,5,30,28.90,28.80,
1,2,6,31,30.00,29.90,
1,2,7,32,30.90,30.80,
1,2,8,33,30.90,30.80,
1,2,9,34,32.00,31.90,
1,2,10,35,34.00,33.90,
1,2,11,36,35.10,35.00,
1,2,12,37,37.90,37.80,
1,2,13,38,41.00,40.90,
1,2,14,39,57.00,52.90,
1,2,15,40,59.00,53.20,
1,2,16,41,57.90,51.70,
1,2,17,42,55.90,47.70,
1,2,18,43,55.00,47.70,
1,2,19,44,54.00,47.70,
1,2,20,45,52.00,47.70,
1,2,21,46,48.00,46.30,
1,2,22,47,46.90,45.80,
1,2,23,48,46.90,45.80,
1,3,0,49,48.00,46.90,
1,3,1,50,48.90,47.30,
1,3,2,51,48.90,48.40,
1,3,3,52,50.00,48.90,
1,3,4,53,50.00,48.90,
1,3,5,54,50.00,48.90,
1,3,6,55,50.00,48.90,
1,3,7,56,50.00,48.90,
1,3,8,57,50.00,48.90,
1,3,9,58,50.00,48.90,
1,3,10,59,46.00,43.00,
1,3,11,60,43.00,40.20,
1,3,12,61,41.00,38.30,
1,3,13,62,41.00,35.80,
1,3,14,63,43.00,37.70,
1,3,15,64,42.10,36.80,
1,3,16,65,39.90,34.40,
1,3,17,66,39.90,34.40,
1,3,18,67,37.90,32.60,
1,3,19,68,37.90,32.60,
1,3,20,69,37.00,32.00,
1,3,21,70,35.10,30.70,
1,3,22,71,35.10,30.30,
1,3,23,72,34.00,29.40,
1,4,0,73,34.00,29.10,
1,4,1,74,33.10,27.70,
1,4,2,75,30.90,26.20,
1,4,3,76,30.00,24.80,
1,4,4,77,28.90,23.90,
1,4,5,78,28.00,23.60,
1,4,6,79,27.00,22.70,
1,4,7,80,24.10,20.10,
1,4,8,81,23.00,19.60,
1,4,9,82,24.10,20.30,
1,4,10,83,25.00,20.90,
1,4,11,84,27.00,22.40,
1,4,12,85,28.00,22.90,
1,4,13,86,28.00,22.70,
1,4,14,87,30.00,24.40,
1,4,15,88,30.90,25.00,
1,4,16,89,30.90,24.20,
1,4,17,90,30.00,23.80,
1,4,18,91,28.00,22.30,
1,4,19,92,27.00,21.90,
1,4,20,93,25.00,20.50,
1,4,21,94,24.10,19.90,
1,4,22,95,24.10,19.90,
1,4,23,96,21.90,18.40,
1,5,0,97,21.00,17.60,
1,5,1,98,19.90,17.00,
1,5,2,99,19.00,16.40,
1,5,3,100,19.00,16.60,
1,5,4,101,19.00,16.60,
1,5,5,102,18.00,15.60,
1,5,6,103,18.00,15.90,
1,5,7,104,18.00,15.90,
1,5,8,105,18.00,15.90,
1,5,9,106,19.90,17.20,
1,5,10,107,21.90,18.60,
1,5,11,108,24.10,20.30,
1,5,12,109,28.00,22.90,
1,5,13,110,28.90,23.70,
1,5,14,111,32.00,25.80,
1,5,15,112,34.00,27.10,
1,5,16,113,35.10,27.70,
1,5,17,114,35.10,27.70,
1,5,18,115,32.00,26.10,
1,5,19,116,28.90,24.60,
1,5,20,117,27.00,23.70,
1,5,21,118,26.10,23.60,
1,5,22,119,25.00,22.90,
1,5,23,120,24.10,22.00,
1,6,0,121,23.00,21.10,
1,6,1,122,21.90,20.00,
1,6,2,123,21.00,19.70,
1,6,3,124,21.00,19.70,
1,6,4,125,19.90,18.40,
1,6,5,126,19.90,18.40,
1,6,6,127,19.00,17.80,
1,6,7,128,18.00,17.10,
1,6,8,129,18.00,17.10,
1,6,9,130,19.90,18.60,
1,6,10,131,24.10,22.00,
1,6,11,132,30.00,26.10,
1,6,12,133,34.00,28.30,
1,6,13,134,37.90,30.50,
1,6,14,135,42.10,32.80,
1,6,15,136,44.10,34.10,
1,6,16,137,44.10,34.10,
1,6,17,138,44.10,34.40,
1,6,18,139,41.00,33.20,
1,6,19,140,37.90,31.90,
1,6,20,141,35.10,30.70,
1,6,21,142,30.00,28.00,
1,6,22,143,34.00,30.30,
1,6,23,144,35.10,31.00,
1,7,0,145,37.00,32.40,
